,Translated_Category,Translated_Resume;;;
entreprise - Tech Mahindra;;;
description - Taille de l'equipe : 5;;;
Environnement : Java, Mysql, script Shell.;;;
Serveur Web : Jenkins.;;;
Description : OR-Formatter est une application qui prend le fichier d'entree en tant que fichier modifie de Geneve GMF à partir du serveur de Geneve et lit les donnees pour generer une sauvegarde de facture et des factures de facture pour les clients clients de BT. Ces factures seraient envoyees à tous les clients apres facturation.;;;
Contribution:;;;
â¢ Joue le rôle de developpeur Java implique dans l'application des demandes de changement aux modules actuels.;;;
• Travail sur l'analyse des exigences et le developpement des user stories, ainsi que sur les tests unitaires de developpement preformes pour les user stories.;;;
â¢ Gestion des problemes E2E et correction des bugs.;;;
• Preparer la documentation requise au niveau du programme et au niveau de l'utilisateur.;;;
entreprise - Tech Mahindra;;;
description - Taille de l'equipe : 5;;;
Environnement : Java EJB, Mysql, script Shell.;;;
Serveur Web : serveur Weblogic12c, Jenkins.;;;
Description : STAA est une couche middleware d'encapsulation, agissant comme une interface entre les systemes de support operationnel du client et les systemes existants. Il transforme les donnees existantes en differents formats tels que TLV. L'entree se fait sous forme XML/http vers STAA où les validations sont effectuees et la reponse est envoyee aux systemes back-end où les systemes back-end sont des bases de donnees CSS et COSMOSS. Les methodes metier deployees en tant qu'EJB sur WebLogic Server sont partagees entre diverses unites client confrontees au marche.;;;
Contribution:;;;
• Joue le rôle de developpeur Java implique dans la creation de services utilisant Java/J2EE.;;;
• Travail sur l'analyse des exigences et le developpement des user stories, ainsi que sur les tests unitaires de developpement preformes pour les user stories.;;;
â¢ Gestion des problemes E2E et correction des bugs.;;;
"â¢ Travail sur la migration de Java 1.6 vers Java 1.8.""";;;
"393,developpeur Java,""Details sur l'education";;;
Janvier 2013 Master en ingenierie des technologies de l'information Pune, Maharashtra M.I.T;;;
Janvier 2005 Licence en ingenierie et technologies de l'information Pusad, Maharashtra Amravati University;;;
Janvier 2001 Pusad, Maharashtra P. N. Junior College;;;
Janvier 1999 S.S.C Pusad, Maharashtra K.D. Lycee;;;
developpeur Java;;;
;;;
Developpeur Java - Maxgen Technologies;;;
Details des competences;;;
Details de l'entreprise;;;
entreprise - Maxgen Technologies;;;
description - Travaille actuellement chez Infrasoft Technologies, Andheri en tant que developpeur Java.;;;
entreprise - MIS Generation de Tata Sky et Tata Power;;;
la description - COURS TERMINES : Android -Developpement d'applications mobiles, Technologies en Java-Core Java,;;;
Advance Java, JSF, Hibernate, Spring au NIIT en 2015-16.;;;
;;;
PROJET ANDROID : Detecteur de localisation d'appareils informatiques et mobiles. (Android);;;
;;;
PROJET ME : Deduplication des donnees. Mes projets visent à reduire les donnees redondantes du systeme et à liberer de la memoire. Il stocke une copie unique des donnees et, pour plus d'emplacement avec les memes donnees, à l'aide de pointeurs, peut acceder aux donnees. (Java);;;
;;;
SUJETS ENSEIGNES :;;;
Langage C, Core Java, Programmation Orientee Objet (OOT/C++), Base de donnees, PPS (Programmation et resolution de problemes), AD (Advance Database), IAS (Information Assurance et securite), Android;;;
;;;
COMPETENCES EN PROGRAMMATION : C, C++, Java, Android.;;;
BASE DE DONNEES GEREE :;;;
MS Access, SQL, Oracle;;;
;;;
"CONFERENCE NATIONALE : 1. communication presentee sur """"Un index de chiffrement securise sur les donnees de caracteres cryptees dans une base de donnees."""" Les 28 et 29 avril 2011 à l'ecole d'ingenierie Pimpri Chinchwad, Pune.""";;;
"394,developpeur Java,""Details sur l'education";;;
 ÊTRE PJLCE;;;
developpeur Java;;;
;;;
developpeur Java;;;
Details des competences;;;
c++- Experience - Moins de 1 an mois;;;
c- Experience - Moins de 1 an mois;;;
JAVA- Experience - Moins de 1 an mois;;;
DS- Experience - Moins de 1 an mois;;;
Jdbc- Experience - 24 mois;;;
Hibernate - Experience - Moins de 1 an mois;;;
Java J2Ee - Experience - Moins d'un an mois;;;
Javascript - Experience - 6 mois;;;
JQuery - Experience - 6 mois;;;
Ajax - Experience - 6 moisDetails de l'entreprise;;;
entreprise - Tout-Puissant tech pvt ltd nagpur;;;
description - 1. En tant que developpeur Java.;;;
â ORGANISATION : Tout-Puissant Tech Pvt Ltd Nagpur;;;
â DESIGNATION. : Developpeur Java.;;;
â DUREE. : À partir du 1er janvier 2018;;;
â Delai de preavis : 15 jours;;;
RESPONSABILITES PROFESSIONNELLES;;;
â Resoudre les bugs;;;
â Developper le projet selon les besoins de l'utilisateur.;;;
;;;
LA CONNAISSANCE SUR:-;;;
â Langage de programmation C, C++, DS, Java(Swing, JDBC, J2EE) java script,jquery,Ajax;;;
"â Mme bureau, Excel.""";;;
"395,developpeur Java,""COMPETENCES TECHNIQUES SpringMVC, Hibernate, JDBC, Java, J2EE, AzureWeb SunTechnologies Services, JSP, Struts, Servlet, RestApi. Scripts JavaScript, AJAX, HTML, JSON. Technologies OpenSource PHP. Base de donnees MsSQL, MySQL, Oracle. Serveurs Web ApacheTomcatServer. Technologies Internet et OnesignalWebPushNotifications, AzurewebServices, frameworks IONIC, HTML, JSON Systeme d'exploitation WindowsServer2012R2, WinXP/7/8.1/10, Linux, Mac OS Details sur la formation";;;
Août 2013 à juillet 2016 BE Genie informatique Nashik, Maharashtra Late G.N. Sapkal COE Nashik;;;
Juillet 2009 à juin 2013 Diplôme Technologie informatique Nashik, Maharashtra K K Wagh Polytechnic Nashik;;;
Developpeur Java;;;
;;;
developpeur Java;;;
Details des competences;;;
AJAX- Experience - 12 mois;;;
BASE DE DONNEES - Experience - 24 mois;;;
HTML- Experience - 24 mois;;;
J2EE- Experience - 6 mois;;;
JAVA- Experience - 24 mois;;;
Spring MVC - Experience - 12 mois;;;
Ionic 3- Experience - 6 mois;;;
Angular JS - Experience - 6 mois;;;
Spring- Experience - Moins de 1 an mois;;;
Java - Experience - Moins d'un an moisDetails de la societe;;;
entreprise - Solutions d'affaires completes pvt ltd;;;
"description - Travailler en tant que developpeur Java dans Spring MVC, MySQL, MsSql, Java, J2EE, Ajax, Javascript, ionic 3 framework, angulaire js etc. Technologies.""";;;
"396,developpeur Java,""COMPETENCES TECHNIQUES SpringMVC, Hibernate, JDBC, Java, J2EE, AzureWeb SunTechnologies Services, JSP, Struts, Servlet, RestApi. Scripts JavaScript, AJAX, HTML, JSON. Technologies OpenSource PHP. Base de donnees MsSQL, MySQL, Oracle. Serveurs Web ApacheTomcatServer. Technologies Internet et OnesignalWebPushNotifications, AzurewebServices, frameworks IONIC, HTML, JSON Systeme d'exploitation WindowsServer2012R2, WinXP/7/8.1/10, Linux, Mac OS Details sur la formation";;;
Août 2013 à juillet 2016 BE Genie informatique Nashik, Maharashtra Late G.N. Sapkal COE Nashik;;;
Juillet 2009 à juin 2013 Diplôme Technologie informatique Nashik, Maharashtra K K Wagh Polytechnic Nashik;;;
Developpeur Java;;;
;;;
developpeur Java;;;
Details des competences;;;
AJAX- Experience - 12 mois;;;
BASE DE DONNEES - Experience - 24 mois;;;
HTML- Experience - 24 mois;;;
J2EE- Experience - 6 mois;;;
JAVA- Experience - 24 mois;;;
Spring MVC - Experience - 12 mois;;;
Ionic 3- Experience - 6 mois;;;
Angular JS - Experience - 6 mois;;;
Spring- Experience - Moins de 1 an mois;;;
Java - Experience - Moins d'un an moisDetails de la societe;;;
entreprise - Solutions d'affaires completes pvt ltd;;;
"description - Travailler en tant que developpeur Java dans Spring MVC, MySQL, MsSql, Java, J2EE, Ajax, Javascript, ionic 3 framework, angulaire js etc. Technologies.""";;;
"397,developpeur Java,""Systemes d'exploitation Windows XP, 7, 10. Outils/Packages Visual Basic 6.0, UML, Packet Tracer Technologies Web Core Java, Advance Java, JSP, Hibernate, Spring Langages connus Bases de donnees C, C++ SQL DOMAINES D'INTERÊT â¢ Developpement de logiciels â ¢ Programmation Projets academiques Details Diplôme : Titre : Logiciel bancaire Description : Nous avons utilise la technologie GSM pour la transaction de messages à des fins de securite. Environnement/OS : Windows XP Technologies utilisees frontend : visual basic 6.0 Backend : oracle 9i BE : Titre : Single Sign On Description : Nous avons cree un mecanisme de « single sign on » pour la securite du reseau. Environnement/OS : Windows 7 Technologies utilisees Frontend : java Backend : Oracle 10g ME : Titre : Mot de passe graphique base sur du texte pour surmonter les attaques de surf sur l'epaule Description : J'ai cree un systeme de mot de passe le plus securise à l'aide d'un algorithme d'impression aleatoire. Environnement/OS : Windows 10 Technologies utilisees : Frontend : Java Backend : MySQL Entreprise : Titre : Agriculture Management System Description : Creation d'une application Web pour le systeme agricole et l'agriculture. Environnement/OS : Windows 10 Technologies utilisees : Frontend : Hibernate Backend : MySQL Details de la formation";;;
Juin 2015 à fevrier 2018 ME (ordinateurs) ordinateur Pune, Maharashtra Savitribai Phule Pune University;;;
Juin 2007 S.S.C. Solapur, Maharashtra Conseil secondaire du Maharashtra;;;
developpeur Java;;;
;;;
developpeur Java;;;
Details des competences;;;
JAVA- Experience - 6 mois;;;
BASES DE DONNEES- Experience - 6 mois;;;
Hibernate - Experience - Moins de 1 an mois;;;
Jsp- Experience - Moins de 1 an mois;;;
Servlet - Experience - Moins d'un an moisDetails sur la societe;;;
entreprise - Maxgen Technologies Pvt.Ltd.;;;
description - 1. Travailler en tant que developpeur Java sur la technologie Hibernate. Developpement d'applications Web à l'aide du servlet JSP et de la mise en veille prolongee.;;;
entreprise - Academie informatique Prakshal;;;
"description - Je travaillais comme entraîneur. J'ai enseigne A+, N+ CCNA (routage et commutation).""";;;
"398,developpeur Java,""Competences informatiques : Langages et scripts : JSP, Servlet, HTML, CSS, Java Script, Jquery, Ajax, Spring, Hibernate Systeme d'exploitation : Microsoft Windows® 2003/XP/Vista/7/8 Bases de donnees : My SQL Concepts : OOPS, Core Java , Outil de developpement Java avance : Eclipse, serveur Web IDE Net Beans : Apache Tomcat 7.0Details de la formation";;;
Janvier 2007 H.S.C Amravati, College Maharashtra VidyaBharati;;;
Janvier 2005 S.S.C Amravati, Maharashtra Holy Cross English School;;;
developpeur Java;;;
;;;
Developpeur Java - Kunal IT Services Pvt Ltd;;;
Details des competences;;;
ECLIPSE- Experience - Moins de 1 an mois;;;
JAVA- Experience - 14 mois;;;
HIBERNATE- Experience - Moins de 1 an mois;;;
PRINTEMPS- Experience - Moins de 1 an mois;;;
jQuery - Experience - Moins d'un an moisDetails de la societe;;;
entreprise - Kunal IT Services Pvt Ltd;;;
la description - Travaille actuellement en tant que developpeur Java chez Winsol Solution Pvt Ltd du 1er juillet 2017 à ce jour.;;;
;;;
"Experience de 2 ans en tant que developpeur Java chez Kunal IT Services Pvt Ltd.""";;;
"399,developpeur Java,""Details sur l'education";;;
Janvier 2016 B.E Information Technology Pune, Maharashtra Sawitribai Phule Pune University;;;
developpeur Java;;;
;;;
Developpeur Java - Logiciels verticaux;;;
Details des competences;;;
Details de l'entreprise;;;
entreprise - Logiciel vertical;;;
description - Expertise en conception et developpement d'applications web utilisant J2EE, Servlets;;;
JSP, JavaScript, HTML, CSS, JQUERY, AJAX, JSON.;;;
;;;
Experience dans le developpement d'applications utilisant l'architecture MVC.;;;
;;;
Bonne comprehension des phases du cycle de vie du developpement logiciel telles que les exigences;;;
collecte, analyse, conception, developpement et tests unitaires.;;;
;;;
Langages & open Source Java, J2EE, Spring, Hibernate;;;
Cadre;;;
;;;
Langages de script et serveur Java JSP, servlets, connectivite DB;;;
Programme parallele JDBC, JavaScript, jQuery, Ajax, JSON;;;
;;;
Serveur d'applications TomCat;;;
Base de donnees MongoDB, MySql;;;
IDE Eclipse;;;
;;;
1. Titre du projet : Grand livre des depenses;;;
Rôle : Developpeur Java;;;
Outils et technologies : Java, Jsp, Servlet, MySql, JavaScript, Json, Jquery, Ajax.;;;
;;;
2. Titre du projet : Developpeur Trimurti (Immobilier);;;
Rôle : Developpeur Java;;;
Outils et technologies : Java, Jsp, Servlet, MySql, JavaScript, Json, Jquery, Ajax.;;;
;;;
3. Titre du projet : Entreprise Vimay;;;
Rôle : Developpeur Java;;;
Outils et technologies : Java, Jsp, Spring, Hibernate, Maven, Jquery, Ajax.;;;
entreprise - Lycee Superieur;;;
"description - Pune, 58,8%""";;;
"400,developpeur Java,""COMPETENCES TECHNIQUES Langages de programmation : Java (Servlet, JSP, Spring Boot). Technologie Web : HTML5, CSS3, Bootstrap, JavaScript, JQuery, Ajax, AngularJs. Base de donnees : MySQL. IDE et outils : Eclipse, outil Spring Suit, Net Beans, Sublime Text, Atom. Systeme d'exploitation : Windows XP, 7, 8, 10. REALISATION • Certificat de developpeur Java de l'Institut technique Unanth. • Certificat Java de Solo Learn. • Certificat de cours intensif en ligne de commande d'Udemy. DETAILS DU POSTE Details de la formation";;;
Janvier 2018 M.C.A Pune, Universite du Maharashtra Pune;;;
Janvier 2015 B.C.A Amravati, Universite Maharashtra Amravati;;;
Janvier 2012 H.S.C Amravati, Universite Maharashtra Amravati;;;
Janvier 2010 S.S.C Amravati, Universite Maharashtra Amravati;;;
Developpeur Java;;;
;;;
Developpeur Java Full Stack;;;
Details des competences;;;
Css- Experience - Moins de 1 an mois;;;
Ajax- Experience - Moins de 1 an mois;;;
Servlet - Experience - Moins d'un an mois;;;
Html5- Experience - Moins de 1 an mois;;;
Spring- Experience - Moins de 1 an mois;;;
Java - Experience - Moins d'un an mois;;;
Jquery- Experience - Moins de 1 an mois;;;
Jsp- Experience - Moins de 1 an mois;;;
Javascript - Experience - Moins d'un an mois;;;
Bootstrap - Experience - Moins d'un an mois;;;
Spring Boot - Experience - Moins d'un an moisDetails de la societe;;;
entreprise - Salcluster technologies;;;
description - A travaille en tant que developpeur Java. Developpement de 3 projets utilisant les technologies Java servlet jsp ajax et web.;;;
entreprise - Salcluster Technologies LLP.;;;
description - Technologie : Core Java, Servlet et JSP, HTML5, CSS3, Bootstrap, Javascript, Jquery;;;
Ajax et Bootstrap.;;;
;;;
DETAILS DU PROJET;;;
Titre n°1 : Logiciels de facturation de la TPS et des ventes;;;
â¢ Statut : Termine;;;
• Duree : 1,5 mois.;;;
• Resume : Il s'agit d'une application Web realisee en utilisant Java (Servlet et JSP), JavaScript, Jquery, Ajax et MySQL en back-end. Il s'agit du site Web d'un client utilise pour la facturation. Il comprend la facturation de la TPS, la generation et l'impression d'une facture. Il comporte cinq pages maîtres et quatre pages communes. Les fiches incluent la fiche client, la fiche article, la fiche uom, la fiche configuration, la fiche motif et les pages communes telles que les commandes client, les paiements, les retours sur ventes et la facture.;;;
;;;
#2 Titre : Site Web de Dinman News;;;
â¢ Statut : Termine;;;
• Duree : 1 mois.;;;
â¢ Resume : Il s'agit d'un projet de site Web utilisant Java (Servlet et JSP), JavaScript, Jquery, Ajax et MySQL en back-end. Il s'agit d'un site Web clients. Il est utilise pour afficher des informations video et textuelles en ligne.;;;
;;;
#2 Titre : Site Web sur la gestion agricole;;;
â¢ Statut : Termine;;;
• Duree : 1,5 mois.;;;
â¢ Resume : Il s'agit d'un projet de site Web utilisant Java (Servlet et JSP), JavaScript, Jquery, Ajax et MySQL en back-end. Il est utilise pour acheter et vendre des legumes dans toute l’Inde.;;;
entreprise - OmegaSoft Technologies pvt.ltd;;;
description - Nom de l'entreprise : OmegaSoft Technologies pvt.ltd. Une entreprise certifiee ISO.;;;
Duree : 5 mois.;;;
Technologie : Java Spring Hibernate, AngularJs, Ajax, KendoUI et BootStrap.;;;
Architecture : architecture MVC et programmation basee sur les services.;;;
Module de projet : enregistrement de connexion et attribution de rôles, paiements.;;;
;;;
DETAILS DU PROJET DE STAGE;;;
Titre n°1 : Temps d'emploi;;;
â¢ Statut : Termine;;;
• Duree : 4 mois.;;;
"• Resume : Il s'agit d'un projet de site Web utilisant Java, Spring, Hibernate. Angular Js, Ajax et MySQL en back-end. Il s'agit du site Web d'un client utilise pour publier des journaux dans toute l'Inde. Il dispose de 12 modules. Dans lequel il dispose d'un panneau d'administration, de publications electroniques, d'abonnements et bien d'autres. Il s'agit d'un site Web tres leger construit en utilisant l'architecture MVC et l'architecture basee sur les services. Nous pouvons egalement publier des publicites sur le site Web et partager directement les nouvelles sur Facebook ou tout autre media social. Il dispose d'un module de paiement et les utilisateurs peuvent effectuer des paiements en ligne par carte de debit ou de credit ou par portefeuille electronique.""";;;
"401,developpeur Java,""COMPETENCES : - 1) Diriger une equipe 2) Motive 3) Travailler dur â Points forts : Pret à apprendre de nouveaux langages de programmation, Ponctuel, Discipline, Respect. DECLARATION : - Je vous informe par la presente que toutes les declarations faites ci-dessus sont vraies au meilleur de mes connaissances et de mes convictions. Details sur l'education";;;
Août 2014 à juillet 2017 MCA Computer Sciene Amravati, Maharashtra SGBAU, Amaravti;;;
Developpeur Web Java;;;
;;;
;;;
Details des competences;;;
Core Java, JSP, Servlet, Spring, Hibernate, Struts, Javascript - Experience - 6 moisDetails de l'entreprise;;;
entreprise - Salcluster Technologies;;;
description - 1. Je suis developpeur Web Java;;;
"2. Jsp, servlet, Spring MVC Technologies""";;;
"402,developpeur Java,""Competences • Langage : Java • Systeme d'exploitation : Windows, Linux (CentOS 6.6) • Bases de donnees : Oracle, My SQL et Derby (base de donnees integree) • IDE : Eclipse (Oxygen) • Outils : SonarQube , Mastic. Responsabilites : â¢ Participer à la collecte des exigences et aux reunions de developpement de la conception. â¢ Revision du code et debogage des erreurs pour ameliorer les performances. • Coordonne avec les partenaires systemes pour finaliser les conceptions et confirmer les exigences. â¢ Respect constant des delais et des exigences pour tous les bons de travail de production. • Collabore avec d'autres developpeurs pour identifier et attenuer le nombre de bogues dans le logiciel et assurer la maintenance et le developpement de corrections de bogues et d'ensembles de correctifs pour les applications existantes. Details sur l'education";;;
 Baccalaureat en ingenierie (informatique) Universite Savitribai Phule Pune;;;
developpeur Java;;;
;;;
Developpeur Java - Aurus Tech Pvt. Ltee;;;
Details des competences;;;
JAVA- Experience - 32 mois;;;
LINUX- Experience - 6 mois;;;
Adavance Java - Experience - Moins d'un an mois;;;
Derby- Experience - Moins de 1 an mois;;;
Oracle - Experience - Moins d'un an moisDetails de la societe;;;
entreprise - Aurus Tech Pvt. Ltee;;;
description - Avoir 2 ans d'experience dans le travail avec un fournisseur de solutions de passerelle de paiement avec Core Java. Developpeur Java travailleur et enthousiaste à l'idee de travailler avec des equipes multiculturelles.;;;
entreprise - Aurus Tech Pvt Ltd.;;;
description - â¢ Participer à la collecte des exigences et aux reunions de developpement de la conception.;;;
â¢ Revision du code et debogage des erreurs pour ameliorer les performances.;;;
• Coordonne avec les partenaires systemes pour finaliser les conceptions et confirmer les exigences.;;;
â¢ Respect constant des delais et des exigences pour tous les bons de travail de production.;;;
"· Collaboration avec d'autres developpeurs pour identifier et attenuer le nombre de bogues dans le logiciel et assurer la maintenance et le developpement continus de corrections de bogues et d'ensembles de correctifs pour les applications existantes.""";;;
"403,Analyste d'affaires,""Details sur l'education";;;
 BE Informatique Mumbai, Maharashtra Mumbai University;;;
 HSC Mumbai, Maharashtra Conseil d'Etat du Maharashtra;;;
 SSC Mumbai, Maharashtra Conseil d'Etat du Maharashtra;;;
Analyste d'affaires;;;
;;;
Analyste d'affaires - Fino Payments Bank;;;
Details des competences;;;
Details de l'entreprise;;;
entreprise - Fino Payments Banque;;;
description - Rôle cle Exigences approfondies et collecte de commentaires;;;
Responsabilites et realisations :;;;
â¦ Realisation d'une collecte approfondie des exigences et des commentaires de toutes les parties prenantes concernees [PME commerciales, architecte technique et architecte d'affaires] pour creer des artefacts tels que le document d'exigences commerciales (BRD) afin d'arriver aux exigences fonctionnelles pour l'equipe de developpement.;;;
â¦ Creation d'un document de specification fonctionnelle (FSD) mettant en evidence la mise en œuvre technique et les cas d'utilisation;;;
â¦ Dirige le projet du module de commission des commerçants de bout en bout et coordonne pour CUG et Live;;;
… Conçu le flux du processus d'ouverture de compte de bout en bout pendant la mise en service de la banque.;;;
… SPOC pour toutes les configurations (au niveau du compte et au niveau du client) en production.;;;
â¦ Diriger les processus de contrôle de tresorerie pour les utilisateurs sur le terrain conformement aux exigences de l'equipe commerciale.;;;
â¦ Concevoir et construire des preuves de concepts pour valider la viabilite d'approches alternatives et determiner le choix optimal;;;
â¦ Implique dans la conception des processus pour le developpement des produits;;;
â¦ Effectue des tests fonctionnels de l'ensemble du systeme et fourni un support pendant l'UAT en preparant des cas de test UAT et en effectuant des tests UAT pour integrer de nouveaux processus en tant que BAU.;;;
â¦ Travailler avec les equipes de developpement pour arriver à des specifications technico-fonctionnelles detaillees, participer à la faisabilite;;;
Analyse;;;
â¦ Organiser des reunions deux fois par semaine avec le fournisseur pour discuter de l'etat des CR et resoudre les questions techniques;;;
entreprise - Fino Paytech Pvt. Ltee;;;
description - Rôle cle : collecte des exigences, developpement, tests;;;
Responsabilites et realisations :;;;
â¦ Collecte des exigences, preparation de la matrice de traçabilite, preparation et execution des cas d'utilisation, elaboration de plans de test bases sur les exigences du projet de partenariat national d'Airtel Zambie;;;
â¦ Diriger la creation du profil des employes, la maintenance des details des employes dans la base de donnees : preparation du flux de travail, developpement de bout en bout et test du module;;;
â¦ Conception du processus de flux de travail du module CAPA (Corrective Action Preventive Analysis) pour maintenir les conclusions d'audit soulevees par l'equipe d'audit interne;;;
â¦ Conçu le module de gestion des depenses et l'a automatise pour un flux de depenses interne de bout en bout;;;
"â¦ Conception de l'outil PMO Parivartan utilise pour le suivi des projets de bout en bout""";;;
"404,Analyste d'affaires,""Serveurs d'applications de competences techniques : IIS 6.0, Jboss 7.1. Base de donnees : SQL, Oracle et DB2. Outil de rapport : iReport, rapport Crystal. Graphique de carriereDetails de l'education";;;
;;;
Analyste d'affaires;;;
;;;
Analyste d'affaires - Zensar Technologies Ltd;;;
Details des competences;;;
CRYSTAL REPORT - Experience - 15 mois;;;
BASE DE DONNEES- Experience - 6 mois;;;
DB2- Experience - 6 mois;;;
IIS- Experience - 6 mois;;;
IIS 6- Experience - 6 moisDetails de l'entreprise;;;
entreprise - Zensar Technologies Ltd;;;
description - Emplacement : Goregoan, Mumbai (Client -SUN Pharmaceutical);;;
Titre : Analyste d’affaires.;;;
Rôle : Collecte des besoins, analyse des ecarts, support, formation des utilisateurs finaux, documentation.;;;
entreprise - Proteus Technologies Pvt Ltd;;;
description - Gestion des informations de base Pvt. Ltd. est un fournisseur de services logiciels base à Mumbai avec des competences de base et une experience eprouvee en matiere d'installations de solutions à l'echelle de l'entreprise. Les clients de base proviennent d'industries aussi larges que les produits pharmaceutiques, les sciences de la vie, les plastiques, l'ingenierie et la chimie.;;;
entreprise - Wings Infonet Pvt Ltd;;;
description - Il s'agit d'une societe de fournisseur de solutions informatiques. La societe fournit des solutions technologiques completes aux societes de comptabilite, de commerce, de paie et de gestion d'actifs du monde entier.;;;
entreprise - Hiral Tektronix Pvt Ltd;;;
description - Le logiciel concerne le recrutement (SIRH), la comptabilite et la paie.;;;
;;;
Responsabilites du poste : • Implementation de l'ERP et support en direct apres la mise en service.;;;
• Documenter les besoins des utilisateurs et developper des specifications pour la personnalisation.;;;
• Integration avec d'autres modules, tests d'integration et extension du support post-lancement, y compris un support de formation pour les utilisateurs finaux.;;;
• Redaction d'exigences fonctionnelles pour les systemes ERP afin de representer les processus et les fonctions impliques.;;;
• Guider les utilisateurs dans l'utilisation des differents modules et la gestion des differents problemes fonctionnels.;;;
â¢ Faire connaître les differents rapports disponibles dans le systeme ERP pour les transactions quotidiennes et pour les rapports MIS des departements;;;
Audit du systeme pour de meilleurs resultats et suivis d’observation.;;;
"â¢ Developper et concevoir un rapport à l'aide d'iReport et de Crystal Report""";;;
"405,Analyste d'affaires,""Competences cles - Collecte des exigences - Analyse des exigences - Specifications de conception - Communication client - Documentation systeme - Resolution de problemes - SDLC Systemes d'exploitation : Windows OS, UNIX (Linux/Ubuntu) Langages : Java, C++ Langages Web : JavaScript, HTML Outils : Logiciel Citrix, Architecte systeme, Quality Center v9.0 et v10.0, Tortoise SVN, DOORS, Artifact Viewer, JformDesigner, JIRA, Microsoft D365 Autres competences : Microsoft Office, MS Excel, MS PowerPoint, MS Visio, AutoCAD, VLSI, certifie MS-CIT . Details sur l'education";;;
Janvier 2012 BE Electronics Mumbai, Maharashtra Mumbai University;;;
Janvier 2006 Conseil d'Etat du Maharashtra;;;
Analyste d'affaires;;;
;;;
Analyste d'affaires - Intertek India Pvt Ltd;;;
Details des competences;;;
SDLC- Experience - 75 mois;;;
VISIO- Experience - 60 mois;;;
RECUEIL DES BESOINS - Experience - 15 mois;;;
Documentation - Experience - Moins de 1 an mois;;;
Tests fonctionnels - Experience - Moins d'un an mois;;;
Analyse commerciale - Experience - Moins d'un an mois;;;
Jira- Experience - Moins d'un an moisDetails de la societe;;;
entreprise - Intertek India Pvt Ltd;;;
description - Analyste d'affaires. Les principales responsabilites incluent la collecte des exigences et l'analyse des exigences. Documentation comme la creation FRD. Fournir des seances d'AC à l'equipe. Avoir une communication client. Analyse des ecarts.;;;
entreprise - Intertek India Pvt Ltd;;;
description - Recueil des besoins aupres des entreprises. Creation de FRD.;;;
â Interaction avec les fournisseurs pour les disciplines fonctionnelles et techniques.;;;
â Creation d'un plan de projet.;;;
â Presentation pas à pas à l'equipe concernant l'exigence â Gestion des propositions de changement ; Estimation des efforts, analyse de l'impact et des ecarts â Participer activement à la mise en œuvre et aux tests des propositions de changement et definir les moyens d'amelioration / d'amelioration â Analyse des defauts et clarification des requetes fonctionnelles des membres de l'equipe et des developpeurs â Creation de cas de test UAT. Executer la meme chose.;;
â Gestion des tests : creation de donnees de test, redaction de cas de test, execution de cas de test (manuel), tests de regression à differentes etapes du SDLC;;;
;;;
details du projet;;;
Projet 1 Inlight (fevrier 2018 à ce jour);;;
Plateforme .Net;;;
;;;
Description:;;;
Inlight - (Application d'evaluation des risques des fournisseurs);;;
Inlight est une application conçue pour evaluer les fournisseurs au sein de la chaîne d'approvisionnement. L'application embarque les importateurs, les exportateurs et les fournisseurs. En fonction du rôle qu'ils jouent, un questionnaire leur est attribue et ils remplissent le questionnaire. Sur la base de la reponse, une methodologie de notation est definie et les fournisseurs sont evalues comme etant critiques, eleves, moyens et faibles. Cela permet d'evaluer le risque lie au travail avec certains fournisseurs de la chaîne d'approvisionnement.;;;
;;;
Au-delà du programme d'etudes â Stage effectue en L&T â Participation à une formation dans une ecole de commerce logistique en Allemagne.;;;
â Certifie A1 en langue allemande.;;;
â Deplacement sur place pour des reunions d'affaires et des discussions avec des clients.;;;
;;;
Dossier personnel .;;;
entreprise - AllCargo India Pvt Ltd;;;
description - Creation FRD;;;
Communication clients;;;
Gestion des fournisseurs;;;
Faire passer le produit en revue avec l'equipe.;;;
entreprise - AllCargo India Pvt Ltd;;;
description - Recueil des besoins aupres des entreprises. Creation de BRD et FSD.;;;
â Interaction avec les fournisseurs pour les disciplines fonctionnelles et techniques.;;;
â Creation d'un plan de projet.;;;
â Analyser les exigences commerciales et definir des specifications coherentes, correctes et completes â Gestion des propositions de changement ; Estimation des efforts, analyse de l'impact et des ecarts â Participer activement à la mise en œuvre et aux tests des propositions de changement et definir les moyens d'amelioration â Analyse des defauts et clarification des requetes fonctionnelles des membres de l'equipe et des developpeurs â Preparer le document d'exigences, le manuel d'utilisation, les tests cas et materiel de formation â Gestion des tests : creation de donnees de test, redaction de cas de test, execution de cas de test (manuel), tests de regression à differentes etapes du SDLC;;
;;;
details du projet;;;
Projet 1 CRM (novembre 2017 à fevrier 2018);;;
Plateforme Microsoft D365;;;
;;;
Description:;;;
CRM - (Systeme de gestion des ventes);;;
CRM est une solution logicielle specialement conçue pour gerer la gestion des ventes. Il s'agit d'un produit fourni par Microsoft qui permet de suivre les ventes de l'entreprise, les activites du vendeur et une vue à 360 degres des comptes clients. Cela permet essentiellement d'obtenir le statut global et la vue des differentes activites que l'entreprise realise aupres de differents clients. Une plate-forme où le vendeur fournit les details du prospect, de l'opportunite, des comptes et des entreprises. Disponible sur le Cloud.;;;
;;;
Risque de credit du projet 2 (novembre 2017 à fevrier 2018);;;
